date,roles
2023-05-31 20:00,"Aide-serveur, Aide-serveur_4, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-05-31 20:30,"Aide-serveur, Aide-serveur_4, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte_2, Hôte, Aide-serveur_3, Sur appel | Aide-serveur_2, BS_3"
2023-05-31 21:00,"Aide-serveur_4, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte, Aide-serveur_3, BS_3"
2023-05-31 21:30,"Aide-serveur_4, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte, Aide-serveur_3, BS_3"
2023-05-31 22:00,"Aide-serveur_4, Passe Plat_2, BS_2, Hôte, Aide-serveur_3"
2023-05-31 22:30,"Aide-serveur_4, Passe Plat_2, BS_2, Hôte, Aide-serveur_3"
2023-05-31 23:00,"Aide-serveur_4, Passe Plat_2, BS_2, Hôte, Aide-serveur_3"
2023-05-31 23:30,"Aide-serveur_4, Passe Plat_2, BS_2, Hôte, Aide-serveur_3"
2023-05-31 00:00,"Aide-serveur_4, Passe Plat_2, BS_2, Hôte, Aide-serveur_3"
2023-05-31 00:30,"Aide-serveur_3, BS_2"
2023-05-31 01:00,"Aide-serveur_3, BS_2"
2023-06-01 10:30,"BS, Hôtesse bookenda"
2023-06-01 11:00,"BS, Passe Plat, Aide-serveur, Hôtesse bookenda"
2023-06-01 11:30,"BS, Passe Plat, Aide-serveur, Hôtesse bookenda"
2023-06-01 12:00,"BS, Passe Plat, Aide-serveur, Hôtesse bookenda"
2023-06-01 12:30,"BS, Passe Plat, Aide-serveur, Hôtesse bookenda"
2023-06-01 13:00,"BS, Passe Plat, Aide-serveur, Hôtesse bookenda"
2023-06-01 13:30,"BS, Passe Plat, Aide-serveur, Hôtesse bookenda"
2023-06-01 14:00,"BS, Passe Plat, Hôtesse bookenda"
2023-06-01 14:30,"BS, Passe Plat, Hôtesse bookenda"
2023-06-01 15:00,"BS, Passe Plat, Hôtesse bookenda_2, Hôtesse bookenda"
2023-06-01 15:30,"BS, Passe Plat, Hôtesse bookenda_2, Hôtesse bookenda"
2023-06-01 16:00,"Hôtesse bookenda_2, Aide-serveur_2, Hôtesse bookenda_3, Hôte_2, BS_2, Hôte, Aide-serveur_3"
2023-06-01 16:30,"Hôtesse bookenda_2, Aide-serveur_2, Hôtesse bookenda_3, Hôte_2, BS_2, Hôte, Aide-serveur_3"
