,time,apparent_temperature_max,apparent_temperature_min,sunset,uv_index_max,rain_sum,showers_sum,snowfall_sum,precipitation_hours
305,2023-06-03,16.0,7.5,20.62,7.25,0.0,0.0,0.0,0.0
306,2023-06-04,17.4,3.8,20.62,5.55,0.0,0.0,0.0,0.0
307,2023-06-05,21.1,7.9,20.63,6.75,0.0,0.0,0.0,0.0
308,2023-06-06,18.6,11.4,20.65,7.3,0.6,0.0,0.0,1.0
309,2023-06-07,13.6,9.8,20.67,2.2,2.7,0.0,0.0,3.0
310,2023-06-08,15.7,8.9,20.67,3.6,0.0,0.0,0.0,0.0
311,2023-06-09,18.5,8.7,20.68,6.7,0.0,0.0,0.0,0.0
312,2023-06-10,22.8,11.8,20.68,7.25,0.0,0.0,0.0,0.0
313,2023-06-11,27.5,11.7,20.7,7.05,0.0,0.0,0.0,0.0
314,2023-06-12,30.2,19.3,20.72,4.25,0.0,0.0,0.0,0.0
315,2023-06-13,23.8,16.2,20.72,6.85,9.75,0.0,0.0,2.0
316,2023-06-14,25.8,12.4,20.73,6.6,0.0,0.0,0.0,0.0
317,2023-06-15,26.7,16.2,20.73,7.35,3.3,0.0,0.0,2.0
318,2023-06-16,25.1,16.0,20.75,7.15,39.0,0.0,0.0,3.0
319,2023-06-17,17.8,13.0,20.75,2.55,28.2,0.0,0.0,10.0
320,2023-06-18,18.1,11.0,20.75,2.65,0.0,0.0,0.0,0.0
321,2023-06-19,21.4,10.7,20.77,7.25,0.0,0.0,0.0,0.0
322,2023-06-20,27.3,11.2,20.77,7.35,0.0,0.0,0.0,0.0
323,2023-06-21,27.8,12.8,20.77,7.4,0.0,0.0,0.0,0.0
324,2023-06-22,30.3,16.3,20.77,7.5,0.0,0.0,0.0,0.0
325,2023-06-23,32.1,16.7,20.78,7.3,0.0,0.0,0.0,0.0
326,2023-06-24,28.4,23.4,20.78,3.0,11.55,0.0,0.0,6.0
327,2023-06-25,26.0,21.0,20.78,7.5,0.0,0.0,0.0,0.0
328,2023-06-26,31.1,20.0,20.78,7.35,0.0,0.0,0.0,0.0
329,2023-06-27,28.7,22.9,20.78,4.2,0.0,0.0,0.0,0.0
330,2023-06-28,24.7,17.2,20.78,5.75,57.75,0.0,0.0,3.0
331,2023-06-29,26.4,17.7,20.78,4.25,8.7,0.0,0.0,3.0
332,2023-06-30,30.9,19.3,20.77,7.15,0.0,0.0,0.0,0.0
333,2023-07-01,32.0,20.7,20.77,6.5,61.65,0.0,0.0,4.0
334,2023-07-02,28.0,22.0,20.77,5.7,165.3,0.0,0.0,4.0
335,2023-07-03,31.9,21.6,20.77,6.25,0.0,0.0,0.0,0.0
336,2023-07-04,33.7,23.1,20.75,7.35,0.0,0.0,0.0,0.0
337,2023-07-05,35.7,21.9,20.75,7.4,0.0,0.0,0.0,0.0
