sources,date_time,periode,day,vente
MENU CAGE,2021-12-28 13:30:00,11 A 2,Mar,0.0
MENU CAGE,2021-12-28 14:00:00,11 A 2,Mar,0.0
MENU CAGE,2021-12-28 14:30:00,2 A 4,Mar,0.0
MENU CAGE,2021-12-28 15:00:00,2 A 4,Mar,0.0
MENU CAGE,2021-12-28 15:30:00,2 A 4,Mar,0.0
MENU CAGE,2021-12-28 16:00:00,2 A 4,Mar,0.0
MENU CAGE,2021-12-28 16:30:00,4 A 7,Mar,0.0
MENU CAGE,2021-12-28 17:00:00,4 A 7,Mar,0.0
MENU CAGE,2021-12-28 17:30:00,4 A 7,Mar,0.0
MENU CAGE,2021-12-28 18:00:00,4 A 7,Mar,0.0
MENU CAGE,2021-12-28 18:30:00,4 A 7,Mar,0.0
MENU CAGE,2021-12-28 19:00:00,4 A 7,Mar,0.0
MENU CAGE,2021-12-28 19:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 20:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 20:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 21:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 21:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 22:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 22:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 23:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 23:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-29 00:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 00:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 01:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 01:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 02:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 02:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 03:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 03:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 04:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 04:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 05:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 05:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 06:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 06:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 07:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 07:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 08:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 08:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 09:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 09:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 10:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 10:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 11:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 11:30:00,11 A 2,Mer,0.0
MENU CAGE,2021-12-29 12:00:00,11 A 2,Mer,0.0
MENU CAGE,2021-12-29 12:30:00,11 A 2,Mer,0.0
MENU CAGE,2021-12-29 13:00:00,11 A 2,Mer,0.0
MENU CAGE,2021-12-29 13:30:00,11 A 2,Mer,0.0
MENU CAGE,2021-12-29 14:00:00,11 A 2,Mer,0.0
MENU CAGE,2021-12-29 14:30:00,2 A 4,Mer,0.0
MENU CAGE,2021-12-29 15:00:00,2 A 4,Mer,0.0
MENU CAGE,2021-12-29 15:30:00,2 A 4,Mer,0.0
MENU CAGE,2021-12-29 16:00:00,2 A 4,Mer,0.0
MENU CAGE,2021-12-29 16:30:00,4 A 7,Mer,0.0
MENU CAGE,2021-12-29 17:00:00,4 A 7,Mer,0.0
MENU CAGE,2021-12-29 17:30:00,4 A 7,Mer,0.0
MENU CAGE,2021-12-29 18:00:00,4 A 7,Mer,0.0
MENU CAGE,2021-12-29 18:30:00,4 A 7,Mer,0.0
MENU CAGE,2021-12-29 19:00:00,4 A 7,Mer,0.0
MENU CAGE,2021-12-29 19:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 20:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 20:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 21:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 21:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 22:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 22:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 23:00:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-29 23:30:00,7 A CL,Mer,0.0
MENU CAGE,2021-12-30 00:00:00,7 A CL,Jeu,0.0
MENU CAGE,2021-12-30 00:30:00,7 A CL,Jeu,0.0
MENU CAGE,2021-12-30 01:00:00,7 A CL,Jeu,0.0
MENU CAGE,2021-12-30 01:30:00,7 A CL,Jeu,0.0
MENU CAGE,2021-12-30 02:00:00,7 A CL,Jeu,0.0
MENU CAGE,2021-12-30 02:30:00,7 A CL,Jeu,0.0
MENU CAGE,2021-12-30 03:00:00,7 A CL,Jeu,0.0
MENU CAGE,2021-12-30 03:30:00,7 A CL,Jeu,0.0
