date,vente
2022-01-25,806.75
2022-01-24,609.75
2022-01-23,968.25
2022-01-22,1484.75
2022-01-21,1198.75
2022-01-20,1561.45
2022-01-19,0.0
2022-01-18,23.25
2022-01-17,0.0
2022-01-16,1461.25
2022-01-15,1346.25
2022-01-14,1600.25
2022-01-13,1046.25
2022-01-12,864.25
2022-01-11,615.75
2022-01-10,718.75
2022-01-09,717.0
2022-01-08,1139.75
2022-01-07,1673.75
2022-01-06,947.25
2022-01-05,689.25
2022-01-04,1056.5
2022-01-03,607.0
2022-01-02,0.0
2022-01-01,0.0
2021-12-31,3111.27
2021-12-30,10243.72
2021-12-29,9690.9
2021-12-28,9758.78
2021-12-27,9310.23
2021-12-26,7351.65
2021-12-25,59.75
2021-12-24,2054.39
2021-12-23,8187.91
2021-12-22,8034.81
2021-12-21,8512.81
2021-12-20,8444.87
2021-12-19,7294.26
2021-12-18,73.32
2021-12-17,17067.77
2021-12-16,18761.73
2021-12-15,16051.35
2021-12-14,16123.19
2021-12-13,8695.38
2021-12-12,8445.12
2021-12-11,22982.73
2021-12-10,21782.19
2021-12-09,22869.43
2021-12-08,17036.46
2021-12-07,13400.49
2021-12-06,7664.9
2021-12-05,11199.67
2021-12-04,20396.68
2021-12-03,22468.92
2021-12-02,19954.53
2021-12-01,16503.29
2021-11-30,12222.85
2021-11-29,9020.97
2021-11-28,9575.49
2021-11-27,17956.02
2021-11-26,20224.22
2021-11-25,20414.99
2021-11-24,19390.95
2021-11-23,13217.76
2021-11-22,11041.49
2021-11-21,0.0
2021-11-20,19450.45
2021-11-19,19811.47
2021-11-18,17354.87
2021-11-17,13452.37
2021-11-16,11238.76
2021-11-15,6532.22
2021-11-14,9829.09
2021-11-13,15731.05
2021-11-12,12414.31
2021-11-11,15405.94
2021-11-10,12932.66
2021-11-09,11158.78
2021-11-08,6878.69
2021-11-07,9263.14
2021-11-06,17174.49
2021-11-05,14569.94
2021-11-04,15886.29
2021-11-03,14973.99
2021-11-02,14167.29
2021-11-01,9065.85
2021-10-31,7826.84
2021-10-30,16396.16
2021-10-29,18859.19
2021-10-28,15813.4
2021-10-27,14949.74
2021-10-26,10252.28
2021-10-25,8734.47
2021-10-24,8496.86
2021-10-23,14980.34
2021-10-22,19806.56
2021-10-21,16088.59
2021-10-20,12241.22
2021-10-19,13174.2
2021-10-18,11068.27
2021-10-17,5826.48
2021-10-16,12409.41
2021-10-15,16985.87
2021-10-14,18323.17
2021-10-13,16428.72
2021-10-12,10081.82
2021-10-11,12433.44
2021-10-10,10976.23
2021-10-09,15201.21
2021-10-08,17669.19
2021-10-07,16261.91
2021-10-06,11206.78
2021-10-05,8129.87
2021-10-04,7158.07
2021-10-03,6001.25
2021-10-02,13683.02
2021-10-01,11263.09
2021-09-30,13038.53
2021-09-29,10207.03
2021-09-28,11223.06
2021-09-27,7404.63
2021-09-26,8935.67
2021-09-25,18268.74
2021-09-24,16686.18
2021-09-23,15022.05
2021-09-22,12647.8
2021-09-21,10251.93
2021-09-20,10179.1
2021-09-19,12515.3
2021-09-18,20636.79
2021-09-17,21499.63
2021-09-16,19509.97
2021-09-15,14273.37
2021-09-14,10007.51
2021-09-13,8246.78
2021-09-12,13484.45
2021-09-11,17803.55
2021-09-10,16989.43
2021-09-09,16146.11
2021-09-08,8228.45
2021-09-07,7507.29
2021-09-06,8415.32
2021-09-05,8649.03
2021-09-04,16777.33
2021-09-03,15489.02
2021-09-02,11936.03
2021-09-01,9318.55
2021-08-31,11907.59
2021-08-30,7925.07
2021-08-29,7904.68
2021-08-28,13622.17
2021-08-27,22269.41
2021-08-26,15809.66
2021-08-25,12881.59
2021-08-24,13275.41
2021-08-23,11192.24
2021-08-22,11158.49
2021-08-21,15942.67
2021-08-20,19998.95
2021-08-19,16579.52
2021-08-18,13283.99
2021-08-17,9444.95
2021-08-16,9031.17
2021-08-15,11972.85
2021-08-14,17649.35
2021-08-13,18081.46
2021-08-12,14201.67
2021-08-11,12266.96
2021-08-10,11247.76
2021-08-09,8848.74
2021-08-08,9089.77
2021-08-07,17847.65
2021-08-06,15453.54
2021-08-05,15075.39
2021-08-04,12439.31
2021-08-03,11361.69
2021-08-02,12630.32
2021-08-01,11979.18
2021-07-31,18143.16
2021-07-30,18118.34
2021-07-29,14334.62
2021-07-28,14675.34
2021-07-27,12246.68
2021-07-26,12892.59
2021-07-25,10406.95
2021-07-24,16540.36
2021-07-23,20026.03
2021-07-22,17685.93
2021-07-21,14814.1
2021-07-20,14936.99
2021-07-19,14399.46
2021-07-18,12563.68
2021-07-17,15885.64
2021-07-16,12779.27
2021-07-15,17233.37
2021-07-14,10188.37
2021-07-13,11223.74
2021-07-12,9839.18
2021-07-11,12657.82
2021-07-10,17109.54
2021-07-09,13259.46
2021-07-08,11658.1
2021-07-07,20042.46
2021-07-06,8085.93
2021-07-05,13793.75
2021-07-04,9912.8
2021-07-03,14573.93
2021-07-02,23898.76
2021-07-01,17302.85
2021-06-30,17082.94
2021-06-29,8033.3
2021-06-28,14233.12
2021-06-27,9471.85
2021-06-26,8610.78
2021-06-25,13176.46
2021-06-24,23154.15
2021-06-23,15599.68
2021-06-22,11683.43
2021-06-21,5394.34
2021-06-20,14138.69
2021-06-19,13441.59
2021-06-18,17122.04
