Total,Plu,Description,Qté_11,Mnt_11,Qté_21,Mnt_21,Qté_31,Mnt_31,Qté_41,Mnt_41,Qté_51,Mnt_51,Qté_12,Mnt_12,Qté_22,Mnt_22,Qté_32,Mnt_32,Qté_42,Mnt_42,Qté_52,Mnt_52,Qté_13,Mnt_13,Qté_23,Mnt_23,Qté_33,Mnt_33,Qté_43,Mnt_43,Qté_53,Mnt_53
"""BIERE FUT""","""11525963""","""LA JOUFFLUE PICHET""",138.00,3491.98,61.00,1569.87,273.00,7034.65,441.00,11447.56,913.00,23544.06,41563.00,434481.80,15028.00,157131.83,59271.00,653828.55,91759.00,1025310.15,207621.00,2270752.33,86810.00,926150.17,29492.00,330986.29,107646.00,1241870.92,179791.00,2110750.02,403739.00,4609757.40
"""BIERE FUT""","""11525969""","""CHIPIE PETIT""",176.00,1275.24,57.00,413.73,189.00,1371.81,188.00,1365.13,610.00,4425.91,41739.00,435757.04,15085.00,157545.56,59460.00,655200.36,91947.00,1026675.28,208231.00,2275178.24,86986.00,927425.41,29549.00,331400.02,107835.00,1243242.73,179979.00,2112115.15,404349.00,4614183.31
"""BIERE FUT""","""11525973""","""CHIPIE PINTE""",1797.00,16594.64,732.00,6758.68,3843.00,35509.62,3575.00,33099.29,9947.00,91962.23,43536.00,452351.68,15817.00,164304.24,63303.00,690709.98,95522.00,1059774.57,218178.00,2367140.47,88783.00,944020.05,30281.00,338158.70,111678.00,1278752.35,183554.00,2145214.44,414296.00,4706145.54
"""BIERE FUT""","""11525975""","""CHIPIE PICHET""",106.00,2842.58,52.00,1395.60,310.00,8306.28,373.00,9990.77,841.00,22535.23,43642.00,455194.26,15869.00,165699.84,63613.00,699016.26,95895.00,1069765.34,219019.00,2389675.70,88889.00,946862.63,30333.00,339554.30,111988.00,1287058.63,183927.00,2155205.21,415137.00,4728680.77
"""BIERE FUT""","""11525981""","""LA MATANTE PETIT""",567.00,3979.36,150.00,1070.40,528.00,3730.44,638.00,4522.94,1883.00,13303.14,44209.00,459173.62,16019.00,166770.24,64141.00,702746.70,96533.00,1074288.28,220902.00,2402978.84,89456.00,950841.99,30483.00,340624.70,112516.00,1290789.07,184565.00,2159728.15,417020.00,4741983.91
"""BIERE FUT""","""11525985""","""LA MATANTE PINTE""",4903.00,44035.70,1785.00,16207.19,6960.00,63266.67,10290.00,93376.20,23938.00,216885.76,49112.00,503209.32,17804.00,182977.43,71101.00,766013.37,106823.00,1167664.48,244840.00,2619864.60,94359.00,994877.69,32268.00,356831.89,119476.00,1354055.74,194855.00,2253104.35,440958.00,4958869.67
"""BIERE FUT""","""11525987""","""LA MATANTE PICHET""",533.00,13363.88,185.00,4789.83,1125.00,29245.39,1799.00,46776.37,3642.00,94175.47,49645.00,516573.20,17989.00,187767.26,72226.00,795258.76,108622.00,1214440.85,248482.00,2714040.07,94892.00,1008241.57,32453.00,361621.72,120601.00,1383301.13,196654.00,2299880.72,444600.00,5053045.14
"""BIERE FUT""","""11526126""","""-PALETTE BELLE MER""",59.00,0.00,44.00,0.00,96.00,0.00,243.00,0.00,442.00,0.00,49704.00,516573.20,18033.00,187767.26,72322.00,795258.76,108865.00,1214440.85,248924.00,2714040.07,94951.00,1008241.57,32497.00,361621.72,120697.00,1383301.13,196897.00,2299880.72,445042.00,5053045.14
"""BIERE FUT""","""11526127""","""-PALETTE CIBOIRE""",65.00,0.00,33.00,0.00,98.00,0.00,171.00,0.00,367.00,0.00,49769.00,516573.20,18066.00,187767.26,72420.00,795258.76,109036.00,1214440.85,249291.00,2714040.07,95016.00,1008241.57,32530.00,361621.72,120795.00,1383301.13,197068.00,2299880.72,445409.00,5053045.14
"""BIERE FUT""","""11526129""","""-PALETTE JOUFFLUE""",78.00,0.00,51.00,0.00,159.00,0.00,290.00,0.00,578.00,0.00,49847.00,516573.20,18117.00,187767.26,72579.00,795258.76,109326.00,1214440.85,249869.00,2714040.07,95094.00,1008241.57,32581.00,361621.72,120954.00,1383301.13,197358.00,2299880.72,445987.00,5053045.14
"""BIERE FUT""","""11526131""","""-PALETTE MATANTE""",78.00,0.00,43.00,0.00,157.00,0.00,249.00,0.00,527.00,0.00,49925.00,516573.20,18160.00,187767.26,72736.00,795258.76,109575.00,1214440.85,250396.00,2714040.07,95172.00,1008241.57,32624.00,361621.72,121111.00,1383301.13,197607.00,2299880.72,446514.00,5053045.14
"""BIERE FUT""","""11526132""","""-PALETTE NEIPA""",5.00,0.00,2.00,0.00,9.00,0.00,9.00,0.00,25.00,0.00,49930.00,516573.20,18162.00,187767.26,72745.00,795258.76,109584.00,1214440.85,250421.00,2714040.07,95177.00,1008241.57,32626.00,361621.72,121120.00,1383301.13,197616.00,2299880.72,446539.00,5053045.14
"""BIERE FUT""","""11526160""","""BARIL 50L STELLA""",1683.00,28715.67,484.00,8232.80,1686.00,28787.27,3778.00,64614.62,7631.00,130350.36,51613.00,545288.87,18646.00,196000.06,74431.00,824046.03,113362.00,1279055.47,258052.00,2844390.43,96860.00,1036957.24,33110.00,369854.52,122806.00,1412088.40,201394.00,2364495.34,454170.00,5183395.50
"""BIERE FUT""","""11526161""","""BARIL 30L STELLA""",23.00,455.00,16.00,313.00,51.00,995.00,66.00,1289.50,156.00,3052.50,51636.00,545743.87,18662.00,196313.06,74482.00,825041.03,113428.00,1280344.97,258208.00,2847442.93,96883.00,1037412.24,33126.00,370167.52,122857.00,1413083.40,201460.00,2365784.84,454326.00,5186448.00
"""BIERE FUT""","""11526162""","""BARIL 20L ARCHIBALD""",460.00,5643.31,284.00,3237.15,656.00,7755.46,1455.00,17383.14,2855.00,34019.06,52096.00,551387.18,18946.00,199550.21,75138.00,832796.49,114883.00,1297728.11,261063.00,2881461.99,97343.00,1043055.55,33410.00,373404.67,123513.00,1420838.86,202915.00,2383167.98,457181.00,5220467.06
"""BIERE FUT""","""11526163""","""INFUSEE BL. PETIT""",174.00,2515.95,30.00,430.69,346.00,5028.33,506.00,7303.92,1056.00,15278.89,52270.00,553903.13,18976.00,199980.90,75484.00,837824.82,115389.00,1305032.03,262119.00,2896740.88,97517.00,1045571.50,33440.00,373835.36,123859.00,1425867.19,203421.00,2390471.90,458237.00,5235745.95
"""BIERE FUT""","""11526164""","""INFUSEE BL. PINTE""",194.00,1821.59,66.00,619.03,367.00,3476.19,627.00,5949.66,1254.00,11866.47,52464.00,555724.72,19042.00,200599.93,75851.00,841301.01,116016.00,1310981.69,263373.00,2908607.35,97711.00,1047393.09,33506.00,374454.39,124226.00,1429343.38,204048.00,2396421.56,459491.00,5247612.42
"""BIERE FUT""","""11526166""","""INFUSEE BL. PICHET""",739.00,11038.23,227.00,3404.22,1403.00,20818.22,1242.00,18708.11,3611.00,53968.78,53203.00,566762.95,19269.00,204004.15,77254.00,862119.23,117258.00,1329689.80,266984.00,2962576.13,98450.00,1058431.32,33733.00,377858.61,125629.00,1450161.60,205290.00,2415129.67,463102.00,5301581.20
"""BIERE FUT""","""11526169""","""GOOSE IPA PETIT""",469.00,3130.51,122.00,795.08,366.00,2485.14,604.00,4060.80,1561.00,10471.53,53672.00,569893.46,19391.00,204799.23,77620.00,864604.37,117862.00,1333750.60,268545.00,2973047.66,98919.00,1061561.83,33855.00,378653.69,125995.00,1452646.74,205894.00,2419190.47,464663.00,5312052.73
"""BIERE FUT""","""11526170""","""GOOSE IPA 18oz""",7662.00,66327.57,2832.00,24474.80,9896.00,88175.09,18604.00,160232.60,38994.00,339210.06,61334.00,636221.03,22223.00,229274.03,87516.00,952779.46,136466.00,1493983.20,307539.00,3312257.72,106581.00,1127889.40,36687.00,403128.49,135891.00,1540821.83,224498.00,2579423.07,503657.00,5651262.79
"""BIERE FUT""","""11526172""","""GOOSE IPA PICHET""",396.00,9048.92,143.00,3339.89,780.00,18117.79,1524.00,34539.14,2843.00,65045.74,61730.00,645269.95,22366.00,232613.92,88296.00,970897.25,137990.00,1528522.34,310382.00,3377303.46,106977.00,1136938.32,36830.00,406468.38,136671.00,1558939.62,226022.00,2613962.21,506500.00,5716308.53
"""BIERE FUT""","""11526175""","""BUD PETIT""",193.00,1233.57,109.00,702.31,161.00,1077.69,395.00,2547.18,858.00,5560.75,61923.00,646503.52,22475.00,233316.23,88457.00,971974.94,138385.00,1531069.52,311240.00,3382864.21,107170.00,1138171.89,36939.00,407170.69,136832.00,1560017.31,226417.00,2616509.39,507358.00,5721869.28
"""BIERE FUT""","""11526176""","""BUD 21oz""",2826.00,23862.86,1670.00,14062.21,4222.00,36339.51,8981.00,75607.10,17699.00,149871.68,64749.00,670366.38,24145.00,247378.44,92679.00,1008314.45,147366.00,1606676.62,328939.00,3532735.89,109996.00,1162034.75,38609.00,421232.90,141054.00,1596356.82,235398.00,2692116.49,525057.00,5871740.96
"""BIERE FUT""","""11526189""","""BUD PICHET""",1064.00,23953.99,349.00,7433.52,1374.00,30149.28,2914.00,61999.38,5701.00,123536.17,65813.00,694320.37,24494.00,254811.96,94053.00,1038463.73,150280.00,1668676.00,334640.00,3656272.06,111060.00,1185988.74,38958.00,428666.42,142428.00,1626506.10,238312.00,2754115.87,530758.00,5995277.13
"""BIERE FUT""","""11526251""","""STELLA PICHET""",1569.00,41971.09,596.00,16151.77,2932.00,80370.48,6088.00,165304.81,11185.00,303798.15,67382.00,736291.46,25090.00,270963.73,96985.00,1118834.21,156368.00,1833980.81,345825.00,3960070.21,112629.00,1227959.83,39554.00,444818.19,145360.00,1706876.58,244400.00,2919420.68,541943.00,6299075.28
"""BIERE FUT""","""11526255""","""EX PICHET""",0.00,0.00,0.00,0.00,7.00,70.00,8.00,82.00,15.00,152.00,67382.00,736291.46,25090.00,270963.73,96992.00,1118904.21,156376.00,1834062.81,345840.00,3960222.21,112629.00,1227959.83,39554.00,444818.19,145367.00,1706946.58,244408.00,2919502.68,541958.00,6299227.28
"""BIERE FUT""","""11526270""","""COORS PICHET""",28.00,411.00,3.00,45.00,40.00,582.00,83.00,1122.00,154.00,2160.00,67410.00,736702.46,25093.00,271008.73,97032.00,1119486.21,156459.00,1835184.81,345994.00,3962382.21,112657.00,1228370.83,39557.00,444863.19,145407.00,1707528.58,244491.00,2920624.68,542112.00,6301387.28
"""BIERE FUT""","""11526278""","""STELLA PETIT""",1252.00,8995.00,347.00,2490.54,1324.00,9612.97,1638.00,11702.47,4561.00,32800.98,68662.00,745697.46,25440.00,273499.27,98356.00,1129099.18,158097.00,1846887.28,350555.00,3995183.19,113909.00,1237365.83,39904.00,447353.73,146731.00,1717141.55,246129.00,2932327.15,546673.00,6334188.26
"""BIERE FUT""","""11526279""","""STELLA 18oz""",15654.00,149067.97,6367.00,60712.99,22346.00,215506.62,35304.00,336010.40,79671.00,761297.98,84316.00,894765.43,31807.00,334212.26,120702.00,1344605.80,193401.00,2182897.68,430226.00,4756481.17,129563.00,1386433.80,46271.00,508066.72,169077.00,1932648.17,281433.00,3268337.55,626344.00,7095486.24
"""BIERE FUT""","""11526339""","""RED RUBIS PETIT""",140.00,1113.71,28.00,223.12,157.00,1247.83,156.00,1242.84,481.00,3827.50,84456.00,895879.14,31835.00,334435.38,120859.00,1345853.63,193557.00,2184140.52,430707.00,4760308.67,129703.00,1387547.51,46299.00,508289.84,169234.00,1933896.00,281589.00,3269580.39,626825.00,7099313.74
"""BIERE FUT""","""11526340""","""RED RUBIS PINTE""",1398.00,14572.43,492.00,5158.59,2978.00,31035.42,3300.00,34379.02,8168.00,85145.46,85854.00,910451.57,32327.00,339593.97,123837.00,1376889.05,196857.00,2218519.54,438875.00,4845454.13,131101.00,1402119.94,46791.00,513448.43,172212.00,1964931.42,284889.00,3303959.41,634993.00,7184459.20
"""BIERE FUT""","""11526341""","""RED RUBIS PICHET""",66.00,2056.02,24.00,756.79,191.00,5987.04,249.00,7742.96,530.00,16542.81,85920.00,912507.59,32351.00,340350.76,124028.00,1382876.09,197106.00,2226262.50,439405.00,4861996.94,131167.00,1404175.96,46815.00,514205.22,172403.00,1970918.46,285138.00,3311702.37,635523.00,7201002.01
"""BIERE FUT""","""11526348""","""MORETTI PICHET""",9.00,54.00,0.00,0.00,1.00,6.00,16.00,96.00,26.00,156.00,85929.00,912561.59,32351.00,340350.76,124029.00,1382882.09,197122.00,2226358.50,439431.00,4862152.94,131176.00,1404229.96,46815.00,514205.22,172404.00,1970924.46,285154.00,3311798.37,635549.00,7201158.01
"""BIERE FUT""","""11526355""","""HEINEKEN PICHET""",3.00,12.00,0.00,0.00,2.00,8.00,0.00,0.00,5.00,20.00,85932.00,912573.59,32351.00,340350.76,124031.00,1382890.09,197122.00,2226358.50,439436.00,4862172.94,131179.00,1404241.96,46815.00,514205.22,172406.00,1970932.46,285154.00,3311798.37,635554.00,7201178.01
"""BIERE FUT""","""11526370""","""MURPHY PETIT""",73.00,2136.50,7.00,205.50,92.00,2696.50,143.00,4179.00,315.00,9217.50,86005.00,914710.09,32358.00,340556.26,124123.00,1385586.59,197265.00,2230537.50,439751.00,4871390.44,131252.00,1406378.46,46822.00,514410.72,172498.00,1973628.96,285297.00,3315977.37,635869.00,7210395.51
"""BIERE FUT""","""11526371""","""MURPHY PINTE""",60.00,1005.00,10.00,167.50,59.00,988.26,65.00,1088.01,194.00,3248.77,86065.00,915715.09,32368.00,340723.76,124182.00,1386574.85,197330.00,2231625.51,439945.00,4874639.21,131312.00,1407383.46,46832.00,514578.22,172557.00,1974617.22,285362.00,3317065.38,636063.00,7213644.28
"""BIERE FUT""","""11526372""","""MURPHY PICHET""",68.00,1139.01,6.00,100.50,66.00,1108.86,110.00,1845.88,250.00,4194.25,86133.00,916854.10,32374.00,340824.26,124248.00,1387683.71,197440.00,2233471.39,440195.00,4878833.46,131380.00,1408522.47,46838.00,514678.72,172623.00,1975726.08,285472.00,3318911.26,636313.00,7217838.53
"""BIERE FUT""","""11526376""","""CREEMORE PICHET""",49.00,393.00,11.00,88.00,24.00,192.00,56.00,448.00,140.00,1121.00,86182.00,917247.10,32385.00,340912.26,124272.00,1387875.71,197496.00,2233919.39,440335.00,4879954.46,131429.00,1408915.47,46849.00,514766.72,172647.00,1975918.08,285528.00,3319359.26,636453.00,7218959.53
"""BIERE FUT""","""11526389""","""NEW CASTLE PETIT""",1.00,7.50,0.00,0.00,6.00,45.00,26.00,195.00,33.00,247.50,86183.00,917254.60,32385.00,340912.26,124278.00,1387920.71,197522.00,2234114.39,440368.00,4880201.96,131430.00,1408922.97,46849.00,514766.72,172653.00,1975963.08,285554.00,3319554.26,636486.00,7219207.03
"""BIERE FUT""","""11526390""","""NEW CASTLE PINTE""",0.00,0.00,0.00,0.00,0.00,0.00,5.00,35.00,5.00,35.00,86183.00,917254.60,32385.00,340912.26,124278.00,1387920.71,197527.00,2234149.39,440373.00,4880236.96,131430.00,1408922.97,46849.00,514766.72,172653.00,1975963.08,285559.00,3319589.26,636491.00,7219242.03
"""BIERE FUT""","""11526409""","""DOS EQUIS PICHET""",5.00,37.50,0.00,0.00,1.00,7.50,25.00,181.50,31.00,226.50,86188.00,917292.10,32385.00,340912.26,124279.00,1387928.21,197552.00,2234330.89,440404.00,4880463.46,131435.00,1408960.47,46849.00,514766.72,172654.00,1975970.58,285584.00,3319770.76,636522.00,7219468.53
"""BIERE FUT""","""11526433""","""BLUE MOON PETIT""",30.00,229.30,11.00,83.09,40.00,306.20,66.00,502.74,147.00,1121.33,86218.00,917521.40,32396.00,340995.35,124319.00,1388234.41,197618.00,2234833.63,440551.00,4881584.79,131465.00,1409189.77,46860.00,514849.81,172694.00,1976276.78,285650.00,3320273.50,636669.00,7220589.86
"""BIERE FUT""","""11526434""","""BLUE MOON PINTE""",312.00,3077.30,252.00,2487.20,880.00,8659.81,1522.00,14994.19,2966.00,29218.50,86530.00,920598.70,32648.00,343482.55,125199.00,1396894.22,199140.00,2249827.82,443517.00,4910803.29,131777.00,1412267.07,47112.00,517337.01,173574.00,1984936.59,287172.00,3335267.69,639635.00,7249808.36
"""BIERE FUT""","""11526436""","""BLUE MOON PICHET""",33.00,959.79,17.00,485.95,108.00,3091.23,212.00,6105.41,370.00,10642.38,86563.00,921558.49,32665.00,343968.50,125307.00,1399985.45,199352.00,2255933.23,443887.00,4921445.67,131810.00,1413226.86,47129.00,517822.96,173682.00,1988027.82,287384.00,3341373.10,640005.00,7260450.74
"""BIERE FUT""","""11526448""","""VIZZY LIMO FRSMB PIC""",1.00,26.49,4.00,109.47,23.00,630.32,35.00,941.19,63.00,1707.47,86564.00,921584.98,32669.00,344077.97,125330.00,1400615.77,199387.00,2256874.42,443950.00,4923153.14,131811.00,1413253.35,47133.00,517932.43,173705.00,1988658.14,287419.00,3342314.29,640068.00,7262158.21
"""BOL/POISSON""","""11071605""","""BOL CREVETTES BANG""",3137.00,57943.44,512.00,9663.08,2776.00,51563.04,4317.00,80629.15,10742.00,199798.71,3137.00,57943.44,512.00,9663.08,2776.00,51563.04,4317.00,80629.15,10742.00,199798.71,134948.00,1471196.79,47645.00,527595.51,176481.00,2040221.18,291736.00,3422943.44,650810.00,7461956.92
"""BOL/POISSON""","""11071606""","""FISH AND CHIPS""",5498.00,117004.97,1945.00,39033.83,10766.00,217756.24,12383.00,248898.21,30592.00,622693.25,8635.00,174948.41,2457.00,48696.91,13542.00,269319.28,16700.00,329527.36,41334.00,822491.96,140446.00,1588201.76,49590.00,566629.34,187247.00,2257977.42,304119.00,3671841.65,681402.00,8084650.17
"""BOL/POISSON""","""11071608""","""FILET SAUMON ROTI""",1160.00,33539.81,225.00,6596.85,1039.00,30091.93,1613.00,46704.01,4037.00,116932.60,9795.00,208488.22,2682.00,55293.76,14581.00,299411.21,18313.00,376231.37,45371.00,939424.56,141606.00,1621741.57,49815.00,573226.19,188286.00,2288069.35,305732.00,3718545.66,685439.00,8201582.77
"""BOL/POISSON""","""11071610""","""FILET MORUE ROTI""",632.00,11721.50,129.00,2341.50,417.00,7565.50,741.00,13406.50,1919.00,35035.00,10427.00,220209.72,2811.00,57635.26,14998.00,306976.71,19054.00,389637.87,47290.00,974459.56,142238.00,1633463.07,49944.00,575567.69,188703.00,2295634.85,306473.00,3731952.16,687358.00,8236617.77
"""BOL/POISSON""","""11071611""","""BOL POKE SAUMON""",4986.00,100555.17,973.00,20482.88,5059.00,104904.33,7246.00,154450.27,18264.00,380392.65,15413.00,320764.89,3784.00,78118.14,20057.00,411881.04,26300.00,544088.14,65554.00,1354852.21,147224.00,1734018.24,50917.00,596050.57,193762.00,2400539.18,313719.00,3886402.43,705622.00,8617010.42
"""BOL/POISSON""","""11071616""","""BOL POKE TOFU""",1063.00,19311.88,195.00,3505.50,1015.00,18066.85,1318.00,23662.27,3591.00,64546.50,16476.00,340076.77,3979.00,81623.64,21072.00,429947.89,27618.00,567750.41,69145.00,1419398.71,148287.00,1753330.12,51112.00,599556.07,194777.00,2418606.03,315037.00,3910064.70,709213.00,8681556.92
"""BOL/POISSON""","""11071620""","""BOL POKE FILETS PLT""",523.00,13461.50,64.00,1603.50,543.00,13885.50,718.00,17962.50,1848.00,46913.00,16999.00,353538.27,4043.00,83227.14,21615.00,443833.39,28336.00,585712.91,70993.00,1466311.71,148810.00,1766791.62,51176.00,601159.57,195320.00,2432491.53,315755.00,3928027.20,711061.00,8728469.92
"""BOL/POISSON""","""11071623""","""BOL POKE HOMARD""",362.00,9001.25,58.00,1440.00,443.00,10987.00,617.00,15240.50,1480.00,36668.75,17361.00,362539.52,4101.00,84667.14,22058.00,454820.39,28953.00,600953.41,72473.00,1502980.46,149172.00,1775792.87,51234.00,602599.57,195763.00,2443478.53,316372.00,3943267.70,712541.00,8765138.67
"""BOL/POISSON""","""11151614""","""TRIO TACOS POISSON""",3778.00,56092.95,7.00,123.25,16.00,289.00,49.00,883.75,3850.00,57388.95,21139.00,418632.47,4108.00,84790.39,22074.00,455109.39,29002.00,601837.16,76323.00,1560369.41,152950.00,1831885.82,51241.00,602722.82,195779.00,2443767.53,316421.00,3944151.45,716391.00,8822527.62
"""BOL/POISSON""","""11151617""","""TRIO TACOS HOMARD""",1.00,19.75,2.00,39.50,3.00,59.25,2.00,39.50,8.00,158.00,21140.00,418652.22,4110.00,84829.89,22077.00,455168.64,29004.00,601876.66,76331.00,1560527.41,152951.00,1831905.57,51243.00,602762.32,195782.00,2443826.78,316423.00,3944190.95,716399.00,8822685.62
"""BOL/POISSON""","""11151622""","""TRIO TACOS HOM/CREV""",9.00,189.00,0.00,0.00,4.00,79.75,18.00,374.00,31.00,642.75,21149.00,418841.22,4110.00,84829.89,22081.00,455248.39,29022.00,602250.66,76362.00,1561170.16,152960.00,1832094.57,51243.00,602762.32,195786.00,2443906.53,316441.00,3944564.95,716430.00,8823328.37
"""BREUV ENFANT""","""11413960""","""ENF-PEPSI""",405.00,0.00,268.00,0.00,602.00,0.00,1382.00,0.00,2657.00,0.00,405.00,0.00,268.00,0.00,602.00,0.00,1382.00,0.00,2657.00,0.00,153365.00,1832094.57,51511.00,602762.32,196388.00,2443906.53,317823.00,3944564.95,719087.00,8823328.37
"""BREUV ENFANT""","""11413963""","""ENF-LIMO""",790.00,0.00,461.00,0.00,1263.00,0.00,2244.00,0.00,4758.00,0.00,1195.00,0.00,729.00,0.00,1865.00,0.00,3626.00,0.00,7415.00,0.00,154155.00,1832094.57,51972.00,602762.32,197651.00,2443906.53,320067.00,3944564.95,723845.00,8823328.37
"""BREUV ENFANT""","""11413969""","""ENF-7UP""",423.00,0.00,246.00,0.00,609.00,0.00,1278.00,0.00,2556.00,0.00,1618.00,0.00,975.00,0.00,2474.00,0.00,4904.00,0.00,9971.00,0.00,154578.00,1832094.57,52218.00,602762.32,198260.00,2443906.53,321345.00,3944564.95,726401.00,8823328.37
"""BREUV ENFANT""","""11413971""","""ENF-DIET PEPSI""",87.00,0.00,45.00,0.00,69.00,0.00,188.00,0.00,389.00,0.00,1705.00,0.00,1020.00,0.00,2543.00,0.00,5092.00,0.00,10360.00,0.00,154665.00,1832094.57,52263.00,602762.32,198329.00,2443906.53,321533.00,3944564.95,726790.00,8823328.37
"""BREUV ENFANT""","""11414018""","""ENF-CRUSH""",215.00,0.00,132.00,0.00,436.00,0.00,781.00,0.00,1564.00,0.00,1920.00,0.00,1152.00,0.00,2979.00,0.00,5873.00,0.00,11924.00,0.00,154880.00,1832094.57,52395.00,602762.32,198765.00,2443906.53,322314.00,3944564.95,728354.00,8823328.37
"""BREUV ENFANT""","""11414037""","""ENF-THE GLACE""",737.00,0.00,416.00,0.00,1250.00,0.00,2097.00,0.00,4500.00,0.00,2657.00,0.00,1568.00,0.00,4229.00,0.00,7970.00,0.00,16424.00,0.00,155617.00,1832094.57,52811.00,602762.32,200015.00,2443906.53,324411.00,3944564.95,732854.00,8823328.37
"""BREUV ENFANT""","""11414039""","""JUS PAMPL ENFANT""",74.00,294.50,6.00,24.00,49.00,174.33,410.00,1457.92,539.00,1950.75,2731.00,294.50,1574.00,24.00,4278.00,174.33,8380.00,1457.92,16963.00,1950.75,155691.00,1832389.07,52817.00,602786.32,200064.00,2444080.86,324821.00,3946022.87,733393.00,8825279.12
"""BREUV ENFANT""","""11414043""","""ENF-THE FRAMBOISES""",2.00,0.00,1.00,0.00,2.00,0.00,2.00,0.00,7.00,0.00,2733.00,294.50,1575.00,24.00,4280.00,174.33,8382.00,1457.92,16970.00,1950.75,155693.00,1832389.07,52818.00,602786.32,200066.00,2444080.86,324823.00,3946022.87,733400.00,8825279.12
"""BREUV ENFANT""","""11414045""","""ENF-ARNOLD PALMER""",0.00,0.00,2.00,0.00,2.00,0.00,8.00,0.00,12.00,0.00,2733.00,294.50,1577.00,24.00,4282.00,174.33,8390.00,1457.92,16982.00,1950.75,155693.00,1832389.07,52820.00,602786.32,200068.00,2444080.86,324831.00,3946022.87,733412.00,8825279.12
"""BREUV ENFANT""","""11414299""","""LAIT 2% ENF""",82.00,0.00,82.00,0.00,131.00,0.00,292.00,0.00,587.00,0.00,2815.00,294.50,1659.00,24.00,4413.00,174.33,8682.00,1457.92,17569.00,1950.75,155775.00,1832389.07,52902.00,602786.32,200199.00,2444080.86,325123.00,3946022.87,733999.00,8825279.12
"""BREUV ENFANT""","""11414300""","""LAIT CHOCO ENF""",111.00,0.00,111.00,0.00,157.00,0.00,310.00,0.00,689.00,0.00,2926.00,294.50,1770.00,24.00,4570.00,174.33,8992.00,1457.92,18258.00,1950.75,155886.00,1832389.07,53013.00,602786.32,200356.00,2444080.86,325433.00,3946022.87,734688.00,8825279.12
"""BREUV ENFANT""","""11414301""","""LAIT ENFANT""",315.00,0.00,232.00,0.00,524.00,0.00,641.00,0.00,1712.00,0.00,3241.00,294.50,2002.00,24.00,5094.00,174.33,9633.00,1457.92,19970.00,1950.75,156201.00,1832389.07,53245.00,602786.32,200880.00,2444080.86,326074.00,3946022.87,736400.00,8825279.12
"""BREUV ENFANT""","""11414311""","""JUS ORANGE ENF""",592.00,0.00,415.00,0.00,686.00,0.00,1196.00,0.00,2889.00,0.00,3833.00,294.50,2417.00,24.00,5780.00,174.33,10829.00,1457.92,22859.00,1950.75,156793.00,1832389.07,53660.00,602786.32,201566.00,2444080.86,327270.00,3946022.87,739289.00,8825279.12
"""BREUV ENFANT""","""11414316""","""JUS POMME ENF""",1490.00,0.00,985.00,0.00,2256.00,0.00,3070.00,0.00,7801.00,0.00,5323.00,294.50,3402.00,24.00,8036.00,174.33,13899.00,1457.92,30660.00,1950.75,158283.00,1832389.07,54645.00,602786.32,203822.00,2444080.86,330340.00,3946022.87,747090.00,8825279.12
"""BREUV ENFANT""","""11414321""","""JUS RAISIN ENF""",43.00,114.50,29.00,27.50,89.00,214.50,280.00,753.53,441.00,1110.03,5366.00,409.00,3431.00,51.50,8125.00,388.83,14179.00,2211.45,31101.00,3060.78,158326.00,1832503.57,54674.00,602813.82,203911.00,2444295.36,330620.00,3946776.40,747531.00,8826389.15
"""BREUV ENFANT""","""11414387""","""SHIRLEY TEMPLE""",162.00,0.00,135.00,0.00,339.00,0.00,673.00,0.00,1309.00,0.00,5528.00,409.00,3566.00,51.50,8464.00,388.83,14852.00,2211.45,32410.00,3060.78,158488.00,1832503.57,54809.00,602813.82,204250.00,2444295.36,331293.00,3946776.40,748840.00,8826389.15
"""BREUV ENFANT""","""11414393""","""JUS CANNEBERGES ENF""",93.00,128.00,44.00,0.00,145.00,44.50,308.00,332.03,590.00,504.53,5621.00,537.00,3610.00,51.50,8609.00,433.33,15160.00,2543.48,33000.00,3565.31,158581.00,1832631.57,54853.00,602813.82,204395.00,2444339.86,331601.00,3947108.43,749430.00,8826893.68
"""BREUV ENFANT""","""11414401""","""SMOOTHIE FRAISE""",11.00,24.00,18.00,41.00,30.00,70.24,38.00,83.75,97.00,218.99,5632.00,561.00,3628.00,92.50,8639.00,503.57,15198.00,2627.23,33097.00,3784.30,158592.00,1832655.57,54871.00,602854.82,204425.00,2444410.10,331639.00,3947192.18,749527.00,8827112.67
"""BREUV FROID""","""11403962""","""LIMO PETIT""",27.00,81.38,20.00,61.00,20.00,62.50,53.00,163.57,120.00,368.45,27.00,81.38,20.00,61.00,20.00,62.50,53.00,163.57,120.00,368.45,158619.00,1832736.95,54891.00,602915.82,204445.00,2444472.60,331692.00,3947355.75,749647.00,8827481.12
"""BREUV FROID""","""11403965""","""LIMO PICHET""",0.00,0.00,0.00,0.00,5.00,39.50,4.00,31.00,9.00,70.50,27.00,81.38,20.00,61.00,25.00,102.00,57.00,194.57,129.00,438.95,158619.00,1832736.95,54891.00,602915.82,204450.00,2444512.10,331696.00,3947386.75,749656.00,8827551.62
