Total,Plu,Description,Qté_11,Mnt_11,Qté_21,Mnt_21,Qté_31,Mnt_31,Qté_41,Mnt_41,Qté_51,Mnt_51,Qté_12,Mnt_12,Qté_22,Mnt_22,Qté_32,Mnt_32,Qté_42,Mnt_42,Qté_52,Mnt_52,Qté_13,Mnt_13,Qté_23,Mnt_23,Qté_33,Mnt_33,Qté_43,Mnt_43,Qté_53,Mnt_53
"""PROMO BIERE FUT""","""11535792""","""BLUE MOON TEST""",175.00,1166.65,23.00,152.77,129.00,849.72,119.00,780.43,446.00,2949.57,3525.00,29733.69,921.00,7677.88,11004.00,88849.72,6250.00,56687.23,21700.00,182948.52,718251.00,4146960.70,192731.00,1371437.34,679317.00,4919332.39,1143266.00,8160369.67,2733565.00,18598100.10
"""PROMO BIERE FUT""","""11535793""","""BUD TEST""",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3526.00,29733.69,921.00,7677.88,11004.00,88849.72,6250.00,56687.23,21701.00,182948.52,718252.00,4146960.70,192731.00,1371437.34,679317.00,4919332.39,1143266.00,8160369.67,2733566.00,18598100.10
"""PROMO BIERE FUT""","""11535797""","""CREEMORE TEST""",71.00,763.25,17.00,182.75,181.00,1945.75,101.00,1085.77,370.00,3977.52,3597.00,30496.94,938.00,7860.63,11185.00,90795.47,6351.00,57773.00,22071.00,186926.04,718323.00,4147723.95,192748.00,1371620.09,679498.00,4921278.14,1143367.00,8161455.44,2733936.00,18602077.62
"""PROMO BIERE FUT""","""11535801""","""DOS EQUIS TEST""",1.00,10.50,2.00,21.00,7.00,73.50,8.00,84.25,18.00,189.25,3598.00,30507.44,940.00,7881.63,11192.00,90868.97,6359.00,57857.25,22089.00,187115.29,718324.00,4147734.45,192750.00,1371641.09,679505.00,4921351.64,1143375.00,8161539.69,2733954.00,18602266.87
"""PROMO BIERE FUT""","""11535811""","""MORETTI TEST""",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,3600.00,30507.44,940.00,7881.63,11192.00,90868.97,6359.00,57857.25,22091.00,187115.29,718326.00,4147734.45,192750.00,1371641.09,679505.00,4921351.64,1143375.00,8161539.69,2733956.00,18602266.87
"""PROMO BIERE FUT""","""11535812""","""NEW CASTLE TEST""",0.00,0.00,0.00,0.00,0.00,0.00,5.00,600.00,5.00,600.00,3600.00,30507.44,940.00,7881.63,11192.00,90868.97,6364.00,58457.25,22096.00,187715.29,718326.00,4147734.45,192750.00,1371641.09,679505.00,4921351.64,1143380.00,8162139.69,2733961.00,18602866.87
"""PROMO BIERE FUT""","""11535814""","""STELLA TEST""",0.00,0.00,1.00,0.00,2.00,0.00,4.00,0.00,7.00,0.00,3600.00,30507.44,941.00,7881.63,11194.00,90868.97,6368.00,58457.25,22103.00,187715.29,718326.00,4147734.45,192751.00,1371641.09,679507.00,4921351.64,1143384.00,8162139.69,2733968.00,18602866.87
"""PROMO BIERE FUT""","""11535817""","""CIBOIRE TEST""",39.00,349.65,13.00,129.87,69.00,649.35,221.00,2177.86,342.00,3306.73,3639.00,30857.09,954.00,8011.50,11263.00,91518.32,6589.00,60635.11,22445.00,191022.02,718365.00,4148084.10,192764.00,1371770.96,679576.00,4922000.99,1143605.00,8164317.55,2734310.00,18606173.60
"""PROMO BIERE FUT""","""11535819""","""JOUFFLUE TEST""",1.00,0.00,1.00,0.00,6.00,0.00,7.00,0.00,15.00,0.00,3640.00,30857.09,955.00,8011.50,11269.00,91518.32,6596.00,60635.11,22460.00,191022.02,718366.00,4148084.10,192765.00,1371770.96,679582.00,4922000.99,1143612.00,8164317.55,2734325.00,18606173.60
"""PROMO BIERE FUT""","""11535820""","""MATANTE TEST""",1.00,0.00,7.00,0.00,5.00,0.00,7.00,0.00,20.00,0.00,3641.00,30857.09,962.00,8011.50,11274.00,91518.32,6603.00,60635.11,22480.00,191022.02,718367.00,4148084.10,192772.00,1371770.96,679587.00,4922000.99,1143619.00,8164317.55,2734345.00,18606173.60
